Linux 6.17.0-35-generic (ubuntu-VirtualBox) 	07/09/2026 	_x86_64_	(2 CPU)

12:58:42 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:58:43 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:58:44 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:58:45 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:58:46 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:58:47 AM   128      6532    0.00    0.99    0.00    0.99    0.99     0  ospfd
12:58:48 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:58:49 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:58:50 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:58:51 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:58:52 AM   128      6532    1.00    0.00    0.00    1.00    1.00     0  ospfd
12:58:53 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:58:54 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:58:55 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:58:56 AM   128      6532    0.00    0.00    0.00    0.99    0.00     0  ospfd
12:58:57 AM   128      6532    0.00    1.00    0.00    3.00    1.00     0  ospfd
12:58:58 AM   128      6532    0.00    0.00    0.00    1.00    0.00     1  ospfd
12:58:59 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:59:00 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:59:01 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:59:02 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:59:03 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:59:04 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:59:05 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:59:06 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:59:07 AM   128      6532    0.99    0.00    0.00    0.99    0.99     0  ospfd
12:59:08 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:59:09 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:59:10 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:59:11 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:59:12 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
Average:      128      6532    0.07    0.07    0.00    0.27    0.13     -  ospfd
