Linux 6.17.0-35-generic (ubuntu-VirtualBox) 	07/09/2026 	_x86_64_	(2 CPU)

12:59:47 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:59:48 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:59:49 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:59:50 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:59:51 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:59:52 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:59:53 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:59:54 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:59:55 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:59:56 AM   128      6532    0.00    0.00    0.00    1.00    0.00     0  ospfd
12:59:57 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:59:58 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:59:59 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:00 AM   128      6532    0.00    0.00    0.00    1.00    0.00     1  ospfd
01:00:01 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:02 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:03 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:04 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:05 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:06 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:07 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:08 AM   128      6532    0.00    1.00    0.00    0.00    1.00     1  ospfd
01:00:09 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:10 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:11 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:12 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:13 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:14 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:15 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:16 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:00:17 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
Average:      128      6532    0.00    0.03    0.00    0.07    0.03     -  ospfd
