Linux 6.17.0-35-generic (ubuntu-VirtualBox) 	07/09/2026 	_x86_64_	(2 CPU)

12:43:10 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:43:11 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:12 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:13 AM   128      6532    0.00    0.00    0.00    1.00    0.00     1  ospfd
12:43:14 AM   128      6532    0.00    0.99    0.00    0.00    0.99     1  ospfd
12:43:15 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:16 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:17 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:18 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:19 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:20 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:21 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:22 AM   128      6532    0.00    0.00    0.00    1.00    0.00     1  ospfd
12:43:23 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:24 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:25 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:26 AM   128      6532    0.00    0.00    0.00    1.00    0.00     1  ospfd
12:43:27 AM   128      6532    0.00    1.98    0.00    0.99    1.98     1  ospfd
12:43:28 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:29 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:30 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:31 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:32 AM   128      6532    0.00    0.00    0.00    1.98    0.00     1  ospfd
12:43:33 AM   128      6532    0.00    0.99    0.00    0.00    0.99     1  ospfd
12:43:34 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:35 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:36 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:37 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:38 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:39 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:43:40 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
Average:      128      6532    0.00    0.13    0.00    0.20    0.13     -  ospfd
