Linux 6.17.0-35-generic (ubuntu-VirtualBox) 	07/09/2026 	_x86_64_	(2 CPU)

01:01:09 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:01:10 AM   128      6576    0.00    1.00    0.00    0.00    1.00     1  ospfd
01:01:11 AM   128      6576    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:01:12 AM   128      6576    0.00    3.00    0.00    3.00    3.00     0  ospfd
01:01:13 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:14 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:15 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:16 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:17 AM   128      6576    0.00    2.00    0.00    2.00    2.00     0  ospfd
01:01:18 AM   128      6576    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:01:19 AM   128      6576    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:01:20 AM   128      6576    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:01:21 AM   128      6576    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:01:22 AM   128      6576    0.00    1.00    0.00    1.00    1.00     0  ospfd
01:01:23 AM   128      6576    0.00    0.00    0.00    1.00    0.00     1  ospfd
01:01:24 AM   128      6576    0.00    0.00    0.00    1.00    0.00     1  ospfd
01:01:25 AM   128      6576    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:01:26 AM   128      6576    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:01:27 AM   128      6576    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:01:28 AM   128      6576    0.00    0.00    0.00    1.00    0.00     0  ospfd
01:01:29 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:30 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:31 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:32 AM   128      6576    0.00    1.00    0.00    0.00    1.00     0  ospfd
01:01:33 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:34 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:35 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:36 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:37 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:38 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:39 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
Average:      128      6576    0.00    0.27    0.00    0.30    0.27     -  ospfd
