Connecting to host 10.10.10.2, port 5201
[  5] local 10.10.10.1 port 60518 connected to 10.10.10.2 port 5201
[  5]  64.00-65.05  sec  1.00 MBytes  7.98 Mbits/sec    0   1.31 MBytes       
[  5]  65.05-66.00  sec  4.00 MBytes  35.4 Mbits/sec    0   1.36 MBytes       
[  5]  66.00-67.00  sec  4.00 MBytes  33.6 Mbits/sec    0   1.39 MBytes       
[  5]  67.00-68.00  sec  7.12 MBytes  59.7 Mbits/sec    0   1.41 MBytes       
[  5]  68.00-69.00  sec  3.88 MBytes  32.5 Mbits/sec    0   1.41 MBytes       
[  5]  69.00-70.02  sec  3.50 MBytes  28.8 Mbits/sec    0   1.42 MBytes       
[  5]  70.02-71.00  sec  3.62 MBytes  31.0 Mbits/sec    0   1.42 MBytes       
[  5]  71.00-72.02  sec  7.62 MBytes  62.6 Mbits/sec    0   1.42 MBytes       
[  5]  72.02-73.00  sec  3.50 MBytes  30.0 Mbits/sec    0   1.42 MBytes       
[  5]  73.00-74.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.43 MBytes       
[  5]  74.00-75.00  sec  3.50 MBytes  29.4 Mbits/sec    0   1.46 MBytes       
[  5]  75.00-76.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.50 MBytes       
[  5]  76.00-77.02  sec  3.50 MBytes  28.8 Mbits/sec    0   1.55 MBytes       
[  5]  77.02-78.00  sec  7.25 MBytes  62.1 Mbits/sec    0   1.63 MBytes       
[  5]  78.00-79.00  sec  3.62 MBytes  30.3 Mbits/sec    0   1.39 MBytes       
[  5]  79.00-80.00  sec  5.00 MBytes  42.0 Mbits/sec   27    908 KBytes       
[  5]  80.00-81.00  sec  3.50 MBytes  29.4 Mbits/sec    0    966 KBytes       
[  5]  81.00-82.01  sec   128 KBytes  1.04 Mbits/sec    0   1010 KBytes       
[  5]  82.01-83.00  sec  3.88 MBytes  32.8 Mbits/sec    0   1.01 MBytes       
[  5]  83.00-84.00  sec  3.62 MBytes  30.4 Mbits/sec    0   1.03 MBytes       
[  5]  84.00-85.00  sec  3.50 MBytes  29.3 Mbits/sec    0   1.03 MBytes       
[  5]  85.00-86.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.03 MBytes       
[  5]  86.00-87.01  sec  3.62 MBytes  30.3 Mbits/sec    0   1.03 MBytes       
[  5]  87.01-88.00  sec  7.50 MBytes  63.2 Mbits/sec    0   1.04 MBytes       
[  5]  88.00-89.02  sec  3.50 MBytes  28.9 Mbits/sec    0   1.04 MBytes       
[  5]  89.02-90.01  sec  3.62 MBytes  30.5 Mbits/sec    0   1.06 MBytes       
[  5]  90.01-91.01  sec  3.88 MBytes  32.8 Mbits/sec    0   1.09 MBytes       
[  5]  91.01-92.00  sec  3.50 MBytes  29.5 Mbits/sec    0   1.13 MBytes       
[  5]  92.00-93.00  sec  3.88 MBytes  32.4 Mbits/sec    0   1.19 MBytes       
[  5]  93.00-94.01  sec  3.62 MBytes  30.4 Mbits/sec    0   1.27 MBytes       
[  5]  94.01-95.00  sec  7.12 MBytes  60.0 Mbits/sec    0   1.38 MBytes       
[  5]  95.00-96.00  sec  4.12 MBytes  34.6 Mbits/sec    0   1.52 MBytes       
[  5]  96.00-97.00  sec  3.50 MBytes  29.4 Mbits/sec    0   1.68 MBytes       
[  5]  97.00-98.01  sec  3.62 MBytes  30.3 Mbits/sec    8   1.20 MBytes       
[  5]  98.01-99.00  sec  8.25 MBytes  69.6 Mbits/sec    0   1.35 MBytes       
[  5]  99.00-100.00 sec  3.62 MBytes  30.4 Mbits/sec    0   1.47 MBytes       
[  5] 100.00-101.00 sec  3.62 MBytes  30.4 Mbits/sec    0   1.57 MBytes       
[  5] 101.00-102.00 sec  7.50 MBytes  63.1 Mbits/sec    0   1.13 MBytes       
[  5] 102.00-103.00 sec  4.12 MBytes  34.6 Mbits/sec    0   1.21 MBytes       
[  5] 103.00-104.00 sec  3.62 MBytes  30.4 Mbits/sec    0   1.27 MBytes       
[  5] 104.00-105.00 sec  3.50 MBytes  29.4 Mbits/sec    0   1.32 MBytes       
[  5] 105.00-106.01 sec  3.62 MBytes  30.3 Mbits/sec    0   1.35 MBytes       
[  5] 106.01-107.00 sec  3.75 MBytes  31.6 Mbits/sec    0   1.36 MBytes       
[  5] 107.00-108.00 sec  3.62 MBytes  30.4 Mbits/sec    0   1.37 MBytes       
[  5] 108.00-109.01 sec  4.00 MBytes  33.2 Mbits/sec    0   1.37 MBytes       
[  5] 109.01-110.00 sec  3.50 MBytes  29.6 Mbits/sec    0   1.37 MBytes       
[  5] 110.00-111.00 sec  3.62 MBytes  30.3 Mbits/sec    0   1.37 MBytes       
[  5] 111.00-112.00 sec  3.62 MBytes  30.4 Mbits/sec    1   1.38 MBytes       
[  5] 112.00-113.01 sec  4.25 MBytes  35.5 Mbits/sec    0   1.38 MBytes       
[  5] 113.01-114.00 sec  7.00 MBytes  59.1 Mbits/sec    0   1.38 MBytes       
[  5] 114.00-115.01 sec  4.00 MBytes  33.4 Mbits/sec    0   1.39 MBytes       
[  5] 115.01-116.00 sec  3.62 MBytes  30.5 Mbits/sec    0   1.41 MBytes       
[  5] 116.00-117.00 sec  3.62 MBytes  30.4 Mbits/sec    0   1.44 MBytes       
[  5] 117.00-118.00 sec  3.50 MBytes  29.4 Mbits/sec    0   1.49 MBytes       
[  5] 118.00-119.00 sec  8.00 MBytes  67.0 Mbits/sec    0   1.56 MBytes       
[  5] 119.00-120.00 sec  3.88 MBytes  32.5 Mbits/sec    0   1.66 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-120.00 sec   494 MBytes  34.5 Mbits/sec  148             sender
[  5]   0.00-120.51 sec   488 MBytes  34.0 Mbits/sec                  receiver

iperf Done.
